ham,num_system_qubits,num_ancilla,time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,runtime,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,estimation_error,alpha,counts
ising,2,14,0.007262776211003177,1,42,1,1,65010,67853,754.15625,48.59231833300146,3.1240998703626586,00000001000110,3.6961986722554925,3.6961986722554925,0,3.6961986722554925,3.6961986722554925,0.5720988018928339,4.4,"{""00000001000110"": 1}"
ising,2,14,0.010848837051677003,1,42,1,1,65010,67853,814.765625,48.529636334002134,3.1240998703626586,00000001011000,3.1107092099118065,3.1107092099118065,0,3.1107092099118065,3.1107092099118065,0.013390660450852021,4.4,"{""00000001011000"": 1}"
ising,2,14,0.016205547569471748,1,42,1,1,65010,67853,794.953125,48.36406133300625,3.1240998703626586,00000001110000,2.6504172029157815,2.6504172029157815,0,2.6504172029157815,2.6504172029157815,0.47368266744687704,4.4,"{""00000001110000"": 1}"
ising,2,14,0.0242071819104165,1,42,1,1,65010,67853,671.09375,46.79726354099694,3.1240998703626586,00000001110110,1.8693804760129478,1.8693804760129478,0,1.8693804760129478,1.8693804760129478,1.2547193943497108,4.4,"{""00000001110110"": 1}"
ising,2,14,0.036159694915085014,1,42,1,1,65010,67853,668.3125,47.35831570898881,3.1240998703626586,00010001110110,12.111593197061156,12.111593197061156,0,12.111593197061156,12.111593197061156,8.987493326698498,4.4,"{""00010001110110"": 1}"
ising,2,14,0.054013868330100356,1,42,1,1,65010,67853,692.875,48.10761570799514,3.1240998703626586,00111001100110,26.170376974257195,26.170376974257195,0,26.170376974257195,26.170376974257195,23.046277103894536,4.4,"{""00111001100110"": 1}"
ising,2,14,0.0806836998717128,1,42,1,1,65010,67853,641.921875,48.31798775000789,3.1240998703626586,10111010110110,-21.037083630203504,-21.037083630203504,0,-21.037083630203504,-21.037083630203504,24.161183500566164,4.4,"{""10111010110110"": 1}"
ising,2,14,0.12052199974281191,1,42,1,1,65010,67853,780.140625,48.22388658300042,3.1240998703626586,00010001110110,3.6337889835541874,3.6337889835541874,0,3.6337889835541874,3.6337889835541874,0.5096891131915289,4.4,"{""00010001110110"": 1}"
ising,2,14,0.18003081719234498,1,42,1,1,65010,67853,786.71875,48.60631408399786,3.1240998703626586,00010001100100,2.394304531403269,2.394304531403269,0,2.394304531403269,2.394304531403269,0.7297953389593896,4.4,"{""00010001100100"": 1}"
ising,2,14,0.4017056132834412,1,42,1,1,65010,67853,776.484375,47.51903612499882,3.1240998703626586,10010001100100,-6.7475881903631345,-6.7475881903631345,0,-6.7475881903631345,-6.7475881903631345,9.871688060725793,4.4,"{""10010001100100"": 1}"
ising,2,14,0.2689226465550455,1,42,1,1,65010,67853,801.296875,48.4369566670066,3.1240998703626586,00010001110100,1.6256887627272436,1.6256887627272436,0,1.6256887627272436,1.6256887627272436,1.498411107635415,4.4,"{""00010001110100"": 1}"
ising,2,14,0.6000513597890517,1,42,1,1,65010,67853,803.5,44.717298083996866,3.1240998703626586,10011010100110,-4.147784664998378,-4.147784664998378,0,-4.147784664998378,-4.147784664998378,7.271884535361036,4.4,"{""10011010100110"": 1}"
