ham,n_sys,Num Ancilla,Time,segments,replication_seed,n_circuits,n_shots,depth,size,peak_MB,exact_eig,most_likely_bs,est_energy_med,est_energy_mean,est_energy_std,est_energy_min,est_energy_max,Eigenvalue Error,counts
ising,2,12,0.6803950000871886,1,3,100,1,8695,8774,386.71875,1.2806248474865685,000101000001,1.5905811267199779,1.2632212690307634,1.8542066405006683,-4.536143482580575,4.6105434502372145,0.3099562792334094,"{""000001000001"": 1, ""000010000010"": 1, ""000010010010"": 1, ""000011101111"": 1, ""000011111100"": 1, ""000100010011"": 1, ""000100111010"": 1, ""000101000001"": 2, ""000101100100"": 1, ""000110000001"": 1, ""000110101001"": 1, ""000110110100"": 1, ""000110110110"": 1, ""000111011000"": 1, ""001000001000"": 1, ""001000010001"": 1, ""001000011100"": 1, ""001000111101"": 1, ""001001001000"": 1, ""001001001111"": 1, ""001001010100"": 1, ""001001011000"": 1, ""001001101010"": 1, ""001001101101"": 1, ""001001110101"": 1, ""001010010011"": 1, ""001010101000"": 1, ""001010111000"": 1, ""001011001011"": 1, ""001011010000"": 1, ""001011010111"": 1, ""001011011000"": 1, ""001011011100"": 1, ""001011101011"": 1, ""001011101111"": 1, ""001100001000"": 1, ""001100111011"": 1, ""001101000111"": 1, ""001101001001"": 1, ""001101001101"": 1, ""001101100011"": 1, ""001101100110"": 1, ""001101101011"": 1, ""001101111000"": 1, ""001110001011"": 1, ""001110100111"": 1, ""001111011010"": 1, ""010000000010"": 1, ""010000000101"": 1, ""010000001001"": 1, ""010000010101"": 1, ""010000100010"": 1, ""010001010110"": 1, ""010001011111"": 1, ""010001100011"": 1, ""010001110011"": 1, ""010010001001"": 1, ""010010011001"": 1, ""010010101110"": 1, ""010010111111"": 1, ""010011011000"": 1, ""010100101110"": 1, ""010100110001"": 1, ""010110000110"": 1, ""010111010001"": 1, ""011000000011"": 1, ""011000001001"": 1, ""011000001100"": 1, ""011000011010"": 1, ""011000100111"": 1, ""011000101100"": 1, ""011001011010"": 1, ""011001100001"": 1, ""011010010000"": 1, ""011010100101"": 1, ""011010111000"": 1, ""011100110001"": 1, ""011111111101"": 1, ""100000100100"": 1, ""100110100111"": 1, ""100111000010"": 1, ""101011000011"": 1, ""101101000110"": 1, ""110001100110"": 1, ""110010111001"": 1, ""110100110110"": 1, ""110101001001"": 1, ""110101010100"": 1, ""110110010110"": 1, ""110111100110"": 1, ""110111101010"": 1, ""110111111001"": 1, ""111000011101"": 1, ""111001001100"": 1, ""111101001010"": 1, ""111101001100"": 1, ""111101101000"": 1, ""111111000000"": 1, ""111111011011"": 1}"
ising,2,12,0.7348672461377993,1,1,100,1,8701,8780,388.84375,1.2806248474865685,001000100001,1.333865032916597,0.8324027530143214,2.0376370306754117,-4.131015493179883,4.074654998831295,0.05324018543002862,"{""000000010111"": 1, ""000001000101"": 1, ""000001010110"": 1, ""000001010111"": 1, ""000001011100"": 1, ""000001111001"": 1, ""000010001111"": 1, ""000010010011"": 1, ""000011110000"": 1, ""000100011001"": 1, ""000100011110"": 1, ""000101000101"": 1, ""000101001100"": 1, ""000110011010"": 1, ""000110011111"": 1, ""000111100011"": 1, ""000111100100"": 1, ""000111111000"": 1, ""001000011001"": 1, ""001000100001"": 2, ""001001100100"": 1, ""001001111101"": 1, ""001010000001"": 1, ""001010010001"": 1, ""001010011001"": 1, ""001010100000"": 1, ""001010100101"": 1, ""001010110001"": 1, ""001011001110"": 1, ""001011101101"": 1, ""001100011000"": 1, ""001100011100"": 1, ""001100110110"": 1, ""001101001010"": 1, ""001101110110"": 1, ""001110000111"": 1, ""001110011111"": 1, ""001110100101"": 1, ""001110110101"": 1, ""001111000000"": 1, ""001111000001"": 1, ""001111000010"": 1, ""001111001101"": 2, ""001111100101"": 1, ""010000000010"": 1, ""010000100011"": 1, ""010000101001"": 1, ""010001101001"": 1, ""010001101110"": 1, ""010010101010"": 1, ""010010101110"": 1, ""010011110000"": 1, ""010100000001"": 2, ""010100001001"": 1, ""010100001111"": 1, ""010101001100"": 1, ""010101011111"": 1, ""010101100110"": 1, ""010110000000"": 1, ""010110010110"": 1, ""010110101000"": 1, ""010111001110"": 1, ""011000011001"": 1, ""011001101110"": 1, ""011010011000"": 1, ""011100011111"": 1, ""011100111010"": 1, ""011101100011"": 1, ""011101101100"": 1, ""011110100000"": 1, ""100001000101"": 1, ""100010000001"": 1, ""100010111111"": 1, ""100011101011"": 1, ""100100111110"": 1, ""100110011110"": 1, ""100110111000"": 1, ""101001001101"": 1, ""101101011001"": 1, ""101110110001"": 1, ""101110110111"": 1, ""110000001010"": 1, ""110001110000"": 1, ""110010001110"": 1, ""110010011111"": 1, ""110010111011"": 1, ""110101110100"": 1, ""110110110011"": 1, ""110111100000"": 1, ""111010010000"": 1, ""111011001000"": 1, ""111100100011"": 1, ""111101011100"": 1, ""111101101111"": 1, ""111101111101"": 1, ""111111001110"": 1, ""111111111010"": 1}"
ising,2,12,0.7348672461377993,1,2,100,1,8698,8776,380.5,1.2806248474865685,010001100001,1.6187986432344617,0.9175488479950226,1.916392072086414,-4.227037076144145,3.964021435850732,0.3381737957478932,"{""000000011111"": 1, ""000000100010"": 1, ""000000110011"": 1, ""000000111010"": 1, ""000001101100"": 1, ""000011100110"": 1, ""000011110011"": 1, ""000011111111"": 1, ""000101010011"": 1, ""000101011100"": 1, ""000101101110"": 1, ""000110101000"": 1, ""000111001010"": 1, ""001000100010"": 2, ""001000101100"": 1, ""001001100000"": 1, ""001001101000"": 1, ""001001110001"": 1, ""001010011010"": 1, ""001011011010"": 1, ""001011111111"": 1, ""001100000101"": 1, ""001100001010"": 1, ""001100001111"": 1, ""001100111011"": 1, ""001100111110"": 1, ""001101011010"": 2, ""001101011110"": 1, ""001101100000"": 1, ""001101111110"": 1, ""001110000011"": 1, ""001110011111"": 1, ""001110101001"": 1, ""001110110011"": 1, ""001111010101"": 1, ""010000000010"": 1, ""010000010010"": 1, ""010000010011"": 1, ""010000010100"": 1, ""010000101000"": 1, ""010001001100"": 1, ""010001001111"": 1, ""010001100001"": 2, ""010001100011"": 1, ""010001110001"": 1, ""010010000001"": 1, ""010010010001"": 1, ""010010010101"": 1, ""010010011100"": 1, ""010010100001"": 1, ""010010100111"": 1, ""010010111010"": 1, ""010010111111"": 1, ""010011011001"": 1, ""010011011110"": 1, ""010011100000"": 1, ""010011100001"": 1, ""010011110100"": 1, ""010011111101"": 1, ""010011111111"": 1, ""010100000001"": 1, ""010101011010"": 1, ""010101101010"": 1, ""010101110011"": 1, ""010110000011"": 1, ""010110001101"": 1, ""010110100010"": 1, ""011000101101"": 1, ""011000110101"": 1, ""011101101011"": 1, ""100000010111"": 1, ""100010001011"": 1, ""100101000110"": 1, ""100101111000"": 1, ""100110000100"": 1, ""100110101000"": 1, ""100110111111"": 1, ""101101011010"": 1, ""101110110101"": 1, ""101111101101"": 1, ""101111111000"": 1, ""110010000101"": 1, ""110100011010"": 1, ""110101110010"": 1, ""110110000111"": 1, ""110111000011"": 1, ""111001010101"": 1, ""111010110010"": 1, ""111011001110"": 2, ""111011011001"": 1, ""111011110100"": 1, ""111100111100"": 1, ""111101000011"": 1, ""111101101100"": 1, ""111110110010"": 1, ""111111011111"": 1}"
ising,2,12,0.7348672461377993,1,3,100,1,8695,8774,377.6875,1.2806248474865685,011001100101,1.7127328004821094,1.2180129056444984,1.7285179149153758,-3.5799351039936838,3.982808267300262,0.43210795299554094,"{""000000111101"": 1, ""000001001001"": 1, ""000001100111"": 1, ""000001101000"": 1, ""000011111011"": 1, ""000100000010"": 1, ""000101000100"": 1, ""000101000101"": 1, ""000110001001"": 1, ""000110011000"": 1, ""000111001110"": 1, ""000111010001"": 1, ""000111011000"": 1, ""000111110000"": 1, ""001000000000"": 1, ""001000010101"": 1, ""001000100000"": 1, ""001000100101"": 1, ""001000101001"": 1, ""001001001010"": 1, ""001001010011"": 1, ""001001010111"": 1, ""001001100111"": 1, ""001010000000"": 1, ""001010011111"": 1, ""001010100110"": 1, ""001011010111"": 1, ""001011100111"": 1, ""001100000111"": 1, ""001100001011"": 1, ""001100101001"": 1, ""001101000000"": 1, ""001101000011"": 1, ""001101001111"": 1, ""001101011001"": 1, ""001101011110"": 1, ""001101100110"": 1, ""001101101011"": 1, ""001101111000"": 1, ""001110010011"": 1, ""001110101011"": 1, ""001111100111"": 1, ""001111101101"": 1, ""001111111011"": 1, ""010000001100"": 1, ""010000011101"": 1, ""010000100001"": 1, ""010000111110"": 1, ""010001000001"": 1, ""010001010110"": 1, ""010001011010"": 1, ""010001011011"": 1, ""010001101000"": 1, ""010001101100"": 1, ""010001101110"": 1, ""010001110111"": 1, ""010001111101"": 1, ""010010000111"": 1, ""010010001010"": 1, ""010010010010"": 1, ""010010011001"": 1, ""010010100111"": 1, ""010010101111"": 1, ""010010111100"": 1, ""010011000000"": 1, ""010011001010"": 1, ""010011001100"": 1, ""010011010001"": 1, ""010011110010"": 1, ""010100001010"": 1, ""010100010011"": 1, ""010100101100"": 1, ""011000001011"": 1, ""011000001101"": 1, ""011001100001"": 1, ""011001100101"": 1, ""011001111000"": 1, ""011010101100"": 1, ""011100001011"": 1, ""011100001101"": 1, ""011101110100"": 1, ""100101001101"": 1, ""100110010100"": 1, ""100110100110"": 1, ""101011010100"": 1, ""101011011010"": 1, ""110000000010"": 1, ""110010111001"": 1, ""110011000011"": 1, ""110011000101"": 1, ""110011010110"": 1, ""110011100011"": 1, ""110101001100"": 1, ""110101100011"": 1, ""110110100110"": 1, ""110111101010"": 1, ""111000000100"": 1, ""111001001110"": 1, ""111101000101"": 1, ""111111000001"": 1}"
ising,2,12,0.7937005259840995,1,0,100,1,8578,8656,383.265625,1.2806248474865685,001010001101,1.5770788627898171,0.9627525302820091,1.9109742629631818,-3.946562546344125,3.7474949938106072,0.29645401530324866,"{""000000110100"": 1, ""000001011001"": 1, ""000001111001"": 1, ""000010010000"": 1, ""000010011011"": 1, ""000100101011"": 1, ""000101010101"": 1, ""000101100011"": 1, ""000110001100"": 1, ""000110010000"": 1, ""000111001000"": 1, ""000111010111"": 1, ""001000011100"": 1, ""001000111001"": 1, ""001001011010"": 1, ""001001100011"": 1, ""001010000001"": 1, ""001010001101"": 2, ""001010011011"": 1, ""001010101000"": 1, ""001011100101"": 1, ""001100001111"": 1, ""001100011001"": 1, ""001100100101"": 1, ""001100111011"": 1, ""001101000111"": 1, ""001101010010"": 1, ""001101100101"": 1, ""001101101000"": 1, ""001101101111"": 1, ""001101110100"": 1, ""001101110111"": 1, ""001101111111"": 1, ""001110000010"": 1, ""001110001110"": 1, ""001110100000"": 1, ""001110100100"": 1, ""001110111010"": 1, ""001111011001"": 1, ""001111100010"": 1, ""001111101000"": 1, ""010000001111"": 1, ""010000010001"": 1, ""010000011001"": 1, ""010000100010"": 1, ""010001000111"": 1, ""010001010001"": 2, ""010001010100"": 1, ""010001011011"": 1, ""010001101111"": 1, ""010010010000"": 1, ""010010100111"": 1, ""010011000101"": 1, ""010011001011"": 1, ""010011011011"": 1, ""010011101110"": 1, ""010100001111"": 1, ""010111000001"": 1, ""010111010001"": 1, ""010111011100"": 1, ""010111101100"": 1, ""011000001110"": 1, ""011000001111"": 1, ""011000110001"": 1, ""011001111110"": 1, ""011010101110"": 1, ""011011010101"": 1, ""011100001000"": 1, ""011100011101"": 1, ""011100100100"": 1, ""011100110000"": 1, ""011110001101"": 1, ""011110010011"": 1, ""100000000110"": 1, ""100001000010"": 1, ""100001100111"": 1, ""100010111001"": 1, ""100101110110"": 1, ""101000111011"": 1, ""101001001111"": 1, ""101101100100"": 1, ""101101101000"": 1, ""101101101110"": 1, ""110001000011"": 1, ""110001100001"": 1, ""110010101011"": 1, ""110010111110"": 1, ""110100101101"": 1, ""110101000101"": 1, ""110110001110"": 1, ""110110010000"": 1, ""110111000110"": 1, ""111000101101"": 1, ""111011000011"": 1, ""111011110000"": 1, ""111101101000"": 1, ""111111110010"": 1, ""111111111000"": 1}"
ising,2,12,0.7937005259840995,1,1,100,1,8701,8780,375.78125,1.2806248474865685,001101001101,1.4514537082783732,0.9692463844229083,1.8628753647537868,-3.9523606303984997,3.9175721260722542,0.1708288607918047,"{""000000011111"": 1, ""000000101000"": 1, ""000010000001"": 1, ""000010010011"": 1, ""000011011101"": 1, ""000100001111"": 1, ""000100011001"": 1, ""000100011111"": 1, ""000100111110"": 1, ""000101101110"": 1, ""000101111010"": 1, ""000110111000"": 1, ""000110111111"": 1, ""000111000010"": 1, ""000111011001"": 1, ""000111011010"": 1, ""000111111100"": 1, ""001000000001"": 1, ""001000011001"": 1, ""001001000101"": 1, ""001001101010"": 1, ""001001101011"": 1, ""001010000010"": 1, ""001010101010"": 1, ""001010101111"": 1, ""001010110101"": 1, ""001011001001"": 1, ""001011101001"": 1, ""001011101101"": 1, ""001011110001"": 1, ""001100001111"": 1, ""001100100011"": 1, ""001100100100"": 1, ""001101001101"": 2, ""001101010010"": 1, ""001101010110"": 1, ""001101011000"": 1, ""001110010110"": 1, ""001110011101"": 1, ""001110100110"": 1, ""001110110101"": 1, ""001110111001"": 1, ""001110111100"": 1, ""001111001000"": 1, ""001111001001"": 1, ""001111010011"": 1, ""001111011000"": 1, ""001111111100"": 1, ""010000010010"": 1, ""010000011111"": 1, ""010000100011"": 1, ""010000100110"": 1, ""010001000000"": 1, ""010001010100"": 1, ""010001101101"": 1, ""010001110001"": 1, ""010001110111"": 1, ""010010001000"": 1, ""010010011011"": 1, ""010010011110"": 1, ""010010110101"": 1, ""010010111011"": 1, ""010100001000"": 1, ""010100110000"": 1, ""010101010001"": 1, ""010101011111"": 1, ""010110000101"": 1, ""010110110000"": 1, ""010111000111"": 1, ""010111111110"": 1, ""011000011101"": 1, ""011000100110"": 1, ""011011001100"": 1, ""011011101000"": 1, ""011100101000"": 1, ""011110011000"": 1, ""011111010000"": 1, ""011111101011"": 1, ""100000000011"": 1, ""100000010110"": 1, ""100000100101"": 1, ""100000111011"": 1, ""100001000100"": 1, ""100110010001"": 1, ""100110011110"": 1, ""101001001000"": 1, ""101101011001"": 1, ""101111111111"": 1, ""110000111111"": 1, ""110001110001"": 1, ""110010001100"": 1, ""110110001110"": 1, ""110111110000"": 1, ""111000000001"": 1, ""111100000101"": 1, ""111100011111"": 1, ""111100111011"": 1, ""111101001111"": 1, ""111111111101"": 1}"
ising,2,12,0.7937005259840995,1,2,100,1,8698,8776,390.53125,1.2806248474865685,001100011100,1.5026701174253465,0.8354845852884927,1.8670003301191498,-3.944629851659334,3.5658216934402116,0.22204526993877804,"{""000000110010"": 1, ""000000111011"": 1, ""000001001100"": 1, ""000010001010"": 1, ""000010100111"": 1, ""000011110110"": 1, ""000110001100"": 1, ""000111000000"": 2, ""000111101000"": 1, ""001000010111"": 1, ""001000100000"": 1, ""001000101010"": 1, ""001000110010"": 1, ""001001001001"": 1, ""001001011010"": 1, ""001001110010"": 1, ""001001110111"": 1, ""001010010000"": 1, ""001010101110"": 1, ""001010110101"": 1, ""001011010011"": 1, ""001011110111"": 1, ""001100011100"": 2, ""001100100011"": 1, ""001101011000"": 1, ""001101011110"": 1, ""001110000001"": 1, ""001110010101"": 1, ""001110100010"": 1, ""001110101101"": 1, ""001110110011"": 1, ""001111001110"": 1, ""001111100101"": 1, ""001111101001"": 1, ""001111101111"": 1, ""001111110100"": 1, ""010000000110"": 1, ""010000001010"": 1, ""010000110100"": 1, ""010001000000"": 1, ""010001000011"": 1, ""010001000100"": 1, ""010001001011"": 1, ""010001001100"": 1, ""010001011011"": 1, ""010001100101"": 1, ""010001110100"": 1, ""010010000001"": 1, ""010010001001"": 1, ""010010010001"": 1, ""010010011101"": 1, ""010010100011"": 1, ""010010101110"": 1, ""010010110010"": 1, ""010010111010"": 1, ""010010111111"": 1, ""010011000111"": 1, ""010011100010"": 1, ""010011100101"": 1, ""010011111100"": 1, ""010100011010"": 1, ""010100110010"": 1, ""010100110011"": 1, ""010101100010"": 1, ""010110010011"": 1, ""010110011110"": 1, ""010111011110"": 1, ""011010110101"": 1, ""011010111111"": 1, ""011011100100"": 1, ""011100110101"": 1, ""100000000111"": 1, ""100010110101"": 1, ""100011101110"": 1, ""100101001100"": 1, ""100101011111"": 1, ""100110010010"": 1, ""100111111111"": 1, ""101001101000"": 1, ""101011010100"": 1, ""101101001010"": 1, ""101111100101"": 1, ""101111111000"": 1, ""110000100011"": 1, ""110001100001"": 1, ""110001101010"": 1, ""110100001010"": 1, ""110100101000"": 1, ""110110101010"": 1, ""110111010011"": 1, ""110111110011"": 1, ""111001010111"": 1, ""111011000110"": 1, ""111011011101"": 1, ""111110110010"": 1, ""111111001001"": 1, ""111111001100"": 1, ""111111011010"": 1}"
ising,2,12,0.7937005259840995,1,3,100,1,8695,8774,379.0625,1.2806248474865685,001011001011,1.432126761430459,0.8434859412835293,1.8848212646626052,-3.9079086526482962,3.687581458582072,0.15150191394389045,"{""000000111100"": 1, ""000001010000"": 1, ""000010010000"": 1, ""000010110101"": 1, ""000011100101"": 1, ""000011111100"": 1, ""000100111010"": 1, ""000101011100"": 1, ""000110110010"": 1, ""001000001101"": 1, ""001000011001"": 1, ""001000100111"": 1, ""001001000111"": 1, ""001001001111"": 1, ""001001011001"": 1, ""001001110001"": 1, ""001010011000"": 1, ""001010101011"": 1, ""001011000000"": 1, ""001011001011"": 2, ""001011010111"": 1, ""001011100100"": 1, ""001011100110"": 1, ""001011111111"": 1, ""001100000100"": 1, ""001100001011"": 1, ""001101000111"": 1, ""001101001000"": 1, ""001101001100"": 1, ""001101111110"": 1, ""001110011010"": 1, ""001110101000"": 1, ""001111000100"": 1, ""001111011000"": 1, ""001111011011"": 1, ""001111100101"": 1, ""001111101110"": 1, ""010000000101"": 1, ""010000001111"": 1, ""010000010101"": 1, ""010000101001"": 1, ""010000111001"": 1, ""010001000011"": 1, ""010001100110"": 1, ""010001101110"": 1, ""010001101111"": 1, ""010001110011"": 1, ""010001110111"": 1, ""010010001010"": 1, ""010010001100"": 1, ""010010011111"": 1, ""010010101100"": 1, ""010011000011"": 1, ""010011001000"": 1, ""010011001111"": 1, ""010011010000"": 1, ""010011011100"": 1, ""010011101110"": 1, ""010011111010"": 1, ""010100010001"": 1, ""010100010110"": 1, ""010100101111"": 1, ""010101001100"": 1, ""010101101000"": 1, ""010110001101"": 1, ""010111000000"": 1, ""011001000001"": 1, ""011001100100"": 1, ""011010001001"": 1, ""011010101101"": 1, ""011101001111"": 1, ""011101110100"": 1, ""100000011010"": 1, ""100000101001"": 1, ""100101001101"": 1, ""100101010001"": 1, ""100101100111"": 1, ""100110110110"": 1, ""100111101111"": 1, ""101001000101"": 1, ""101011000011"": 1, ""101011010110"": 1, ""110001101100"": 1, ""110010101101"": 1, ""110010111000"": 1, ""110011000100"": 1, ""110011010001"": 1, ""110011011000"": 1, ""110101100010"": 1, ""110101100110"": 1, ""110110000010"": 1, ""110110010010"": 1, ""110111001010"": 1, ""111000111101"": 1, ""111010000011"": 1, ""111011110001"": 1, ""111101001101"": 1, ""111111001111"": 1, ""111111101100"": 1}"
ising,2,12,0.8572439828530722,1,0,100,1,8578,8656,382.734375,1.2806248474865685,001010001100,1.5487543785333018,0.9393987129966811,1.7985724792001603,-3.600339468063551,3.396344090648419,0.2681295310467333,"{""000000100011"": 1, ""000000111101"": 1, ""000001000110"": 1, ""000100100010"": 1, ""000101110001"": 1, ""000101111100"": 1, ""000110001000"": 1, ""000110011000"": 1, ""000110110100"": 1, ""000111001000"": 1, ""001000010110"": 1, ""001000011010"": 1, ""001001001000"": 1, ""001001100010"": 1, ""001001100100"": 1, ""001010001100"": 1, ""001010101000"": 1, ""001011001100"": 1, ""001011010101"": 1, ""001011111000"": 1, ""001100011100"": 1, ""001100101001"": 1, ""001100110000"": 1, ""001101001110"": 1, ""001101010100"": 1, ""001101100000"": 1, ""001101100011"": 1, ""001101100111"": 1, ""001101111010"": 1, ""001110011011"": 1, ""001110110010"": 1, ""001110110100"": 1, ""001110111011"": 1, ""001111001010"": 1, ""001111010100"": 1, ""001111011101"": 1, ""001111100100"": 1, ""001111101011"": 1, ""001111101100"": 1, ""001111110010"": 1, ""001111111111"": 1, ""010000000111"": 1, ""010000011101"": 1, ""010000110001"": 1, ""010001001001"": 1, ""010001011000"": 1, ""010001100010"": 1, ""010001101111"": 1, ""010001111000"": 1, ""010010001010"": 1, ""010010001011"": 1, ""010010010001"": 1, ""010010011010"": 1, ""010010011111"": 1, ""010010100100"": 1, ""010011000101"": 1, ""010011001111"": 1, ""010011010111"": 1, ""010011101011"": 1, ""010100110101"": 1, ""010101010000"": 1, ""010110000000"": 1, ""010110111000"": 1, ""010111000000"": 1, ""010111010111"": 1, ""010111111101"": 1, ""011000011011"": 1, ""011010001000"": 1, ""011010100100"": 1, ""011100000010"": 1, ""011100010111"": 1, ""011100101111"": 1, ""011100110101"": 1, ""011100110110"": 1, ""011101001000"": 1, ""011101101010"": 1, ""100000100100"": 1, ""100001100000"": 1, ""100001110001"": 1, ""100001111010"": 1, ""100101111110"": 1, ""101000010111"": 1, ""101000101011"": 1, ""101100101011"": 1, ""101101110111"": 1, ""101110010111"": 1, ""101110101110"": 1, ""101111001111"": 1, ""110000101001"": 1, ""110000110000"": 1, ""110010010100"": 1, ""110100101110"": 1, ""110101100001"": 1, ""110111000111"": 1, ""110111001010"": 1, ""111000001110"": 1, ""111001001001"": 1, ""111100110011"": 1, ""111110001011"": 1, ""111111111011"": 1}"
ising,2,12,0.8572439828530722,1,1,100,1,8701,8780,384.90625,1.2806248474865685,010000011111,1.4995449673147394,1.0297471919939618,1.8319639933415361,-3.6182337994157554,3.630759831362299,0.21892011982817094,"{""000000011001"": 1, ""000000111001"": 1, ""000001001100"": 1, ""000011100001"": 1, ""000100101011"": 1, ""000101011000"": 1, ""000101101111"": 1, ""000110011001"": 1, ""000110100100"": 1, ""000111100010"": 1, ""000111100110"": 1, ""000111101100"": 1, ""000111111000"": 1, ""001000000000"": 1, ""001000000001"": 1, ""001000011000"": 1, ""001000101100"": 1, ""001001000101"": 1, ""001001100011"": 1, ""001010100001"": 1, ""001011101001"": 1, ""001011101101"": 2, ""001011111101"": 2, ""001100010111"": 1, ""001100100110"": 1, ""001100111111"": 1, ""001101001101"": 1, ""001101010011"": 1, ""001101010110"": 1, ""001101100011"": 1, ""001101110100"": 1, ""001101111001"": 1, ""001110000001"": 1, ""001110011111"": 1, ""001110100001"": 1, ""001110101100"": 1, ""001110110111"": 1, ""001111011100"": 1, ""001111110001"": 1, ""001111111101"": 1, ""010000010001"": 1, ""010000011111"": 3, ""010000100011"": 1, ""010001001001"": 1, ""010010000011"": 1, ""010010001000"": 1, ""010010001111"": 1, ""010011111000"": 1, ""010100011001"": 1, ""010100101001"": 1, ""010100111001"": 1, ""010101111110"": 1, ""010110000101"": 1, ""010110001011"": 1, ""010110100101"": 1, ""010111001111"": 2, ""010111010100"": 1, ""010111101111"": 1, ""011000011101"": 1, ""011001011110"": 1, ""011010010010"": 1, ""011010011000"": 1, ""011010011011"": 1, ""011010101111"": 1, ""011010110010"": 1, ""011011111000"": 1, ""011011111010"": 1, ""011100001111"": 1, ""011101100100"": 1, ""011110101000"": 1, ""011111000000"": 1, ""011111101011"": 1, ""011111101101"": 1, ""100000011010"": 1, ""100001000100"": 1, ""100001001101"": 1, ""100011001110"": 1, ""100101010001"": 1, ""101001001110"": 1, ""101001011100"": 1, ""101100010000"": 1, ""101110000111"": 1, ""101110011001"": 1, ""101111001100"": 1, ""101111111110"": 1, ""110000001100"": 1, ""110010001101"": 1, ""110010011111"": 1, ""110011000100"": 1, ""110110010011"": 1, ""110111110001"": 1, ""111100110011"": 1, ""111100111110"": 1, ""111101011111"": 1, ""111111110110"": 1}"
